Id,Título,Oración,Objeto,Dónde se compró,Medidas,Datos adicionales,Voz,Otras versiones
23,"[1r]
El secreto de la Santísima Muerte","[3r]
ORACION DEL RAMO BENDITO
Romero bendito
de Dios consagrado,
que fuste nacido,
no fuiste sembrado,
Romero Bendito,
por virtud que Dios te ha dado
Te pido que entre lo bueno y salga lo malo.
nU [sic] Padre Nuestro y tres Aves Marías.
[3v]
ORACIÓN A LOS TRECE ESPIRITUS
¡Oh Excelsa y Divina Trinidad del Padre Creador, del Hijo Redentor, del Espíritu Santo glorificado [cruz] alfa y omega. ¡Oh poderoso Adonay! a tu bondad infinita acude y se postra humildemente esta criatura y de todo corazón te pide que ... fulano de tal se enamore de mí, no fijándose en la hermosura de otra mujer y sólo se fije en lo noble de mi alma [cruz] Jael [cruz] Patriteron [cruz] Israel [cruz] Aglai I Keday [cruz] Rasal [cruz] Helim [cruz [Agla] [Tetragramaton yo os adoro y os amo, haced poderoso Eones; que el amor que siento por vosotros influya en el corazón de la criatura que quero hacer mía. Así sea.
Récese luego nueve veces el Padre Nuetro y nueve Veces el Avemaría. 
[4r]
verdad
[f. 4v]
EL SECRETO DE LA STA. MUERTE
Muerte querida de mi corazón no me desampares con tu protección y desde este momento no tenga más gusto, más ilusión que para mí; Espíritu, cuerpo y alma de.... que su amor, su cariño, su fortuna, sus caricias, sus besos, todo él sea nomás para mí.
Por todas las virtudes que tú tienes concedidas venceré todos los obstáculos y no se me interpondrán cariño e ilusión todo lo que yo ambicione, quiera o me proponga hacer, todo constituirá un éxito halagüeño para mí; ésta virtud divina que Dios te dio, en Dios creo y en tí confío.
Se rezan tres Padres Nuestros[1]","Cuadernillo
(Papel tamaño carta doblado en octavo)",¿Pátzcuaro? (Mariana),11 x 8 cm,"[1r] Contiene además la oración a los 13 espíritus y la del “Justo Juez Negro”. 
[1v]
PARA REALIZAR UN TRABAJO EFECTIVO
Se necesita lo siguiente
Un retrato o una prenda que haya pertenecido por algún  tiempo a la persona ausente, o a quien se trata de cautivar; si es retrato, se escribe al reverso lo siguiente: El nombre de la persona interesada con el apellido de la ausente y luego el nombre del ausente con el apellido de la interesada (esto se llama [2r] ligar) y si no hay retrato, un pedazo de trapo, camisa, vestido, pañuelo o cualquier otra prenda de vestir, se hace un MUÑEQUITO y se compra uno o dos metros de listón blanco, del más angosto y se escriben también los nombres en la misma forma arriba mencionada, (Liga). Se toma el retrato con su cuadrito y la ESTAMPA de la SANTISIMA MUERTE y se empieza a amarrar en cruz hasta que sobren como cuatro dedos de punta, se hace un nudo la primera NOCHE rezando la oración dela SANTISIMA MUERTE, y el retrato se amarra en igual forma que el muñeco, haciendo un nudo cada noche hasta nueve noches, en caso de que no diera resultado favorable, se deja una noche descansar y a la siguiente noche se empieza de nuevo la NOVENA. Esto se hace en cuarto solitario, no se olvide que esto se hará con fe y paciencia has- [2v] ta tres novenas, rezando la oración lo más noche que sea posible, pues se trata de localizar el espíritu de la persona cuando se halla en reposo, el trabajo se hace sólo una vez aunque se hagan más novenas.
Busque Ud. LA ORACION de la Santísima Muerte.
Este secreto está probado
Se prende Vela o Veladora
Busque Ud. la estampa",,
24,"MEJORADOS POLVOS DE VOLADORA
POLVO CON COLOR ORIGINAL [AZUL]","En nombre del gran poder de Dios y señor mío, de buena voluntad de Santos Espíritus terrenales y celestiales, ofrezco estos polvos compuestos a juicio y pensamiento contra esa persona o antiguas fuerzas, para que pueda vengarme de mis enemigos, que sea conjurado para el mal vecino. Repítase por tres veces con toda fe. ","Polvo azúl. Papel couché 
Polvo café en bolsita de papel estraza. papel bond. ",¿Pátzcuaro? (Mariana) (2015). Mercado Independencia (2017),10 x 12.5,"ELABORADO CON INGREDIENTES ESPECIALES
MODO DE USAR EL POLVO
Para hacer irse a la persona que usted desee. Póngase un poco de polvo con la mano izquierda a lo largo, hacia el lugar donde viva la persona o los sitios cercanos sin ser vistos por nadie con toda malicia.
Nota importante: Es de indiscutibles méritos comprobados según la leyenda, no debe de leerse en presencia de otra persona. Y ni el contenido ni la oración debe presentarse en ningún caso, pues al hacerlo pierde todo su poder, tanto para el dueño como para el que lo posea nuevamente, según escritos procedentes de las antiguas leyendas de la Bruja Voladora (No infundir [sic] esta oración en otra de título parecido). ",,"El segundo sobre (2017) en lugar de “Polvvo con color original! Dice ""ORIGINAL POLVO COLORIDO NO COMPRE IMITACIONES”. El polvo es blanco"
25,INCIENSO ARRAZA [sic] TODO,,Bolsa con incienso,¿Pátzcuaro? (Mariana) (2015),13.5 x 9.5,"LEGITIMO INCIENSO ARRAZA TODO
Este incienso está hecho para cortar trabajos de magia negra, puesto en la persona o víctima dañada, resolviendo asi cualquier problema por mas fuerte que este sea ya que esta hecho para limpias con dicho incienso al quemar el daño con que fue hecho y cortandose el momento quedadndo [sic] libre la persona del mal puesto. 
INSTRUCCIONES
En un lienzo negro, se rocea la cantidad de incienso haciendo un bulto y se pasa por todo el cuerpo de la persona, terminada la limpia se pone en el suelo cuidado que no este humedo,se prende y al quemarse estara terminado el trabajo
M.R. REG. EN TRAMITE",,
26,FETICHE HOMBRE Y MUJER,"CARIÑO Y AMOR, ESMERALDAS DE AMOR ARDIENTE PASION YO SIENTO POR TI POR MI TU PENSAMIENTO YA LO DOMINO TU MENTE SUJETA ESTA EN EL INFLUJO DE ESTOS FETICHES TE LLAMO, TE NECESITO FULANO DE TAL, VEN A MI QUE SE METE EN MI CORAZON, QUE FLUYA EN SU MENTE Y LA SANGRE HACIA A MI. ",Fetiches,¿Pátzcuaro? (Mariana),"8 x 6 cm
(papel)
5.5 x 2 X 0.5 cm
(cada muñequito)","“FETICHES
EXPLICACION DE LOS FETICHES MUÑECOS [DE] TRAPO, PARA REALIZAR TRABAJO SE NECESITA LO SIGUIENTE UN RETRATO O PRENDA QUE HAYA PERTENECIDO ALGUN TIEMPO A LA PERSONA AUSENTE A O QUIEN SE TRATE DE CAUTIVAR, SI ES RETRATO ESCRIBE AL REVERSO EL NOMBRE DE LA PERSONA INTERESADA CON APELLIDO DEL AUSENTE SE LIGAN LOS FETICHES CON DOS METROS DE LISTON BLANCO DEM [SIC] MAS ANGOSTO SE AMARRAN LOS MUÑECOS HASTA QUE SOBRE 4 (CUATRO) DEDOS DE PUNTA Y SE HACEN NUEVE NUDOS UNO DIARIO HASTA LLEGAR A LOS NUEVE DIAS Y SE REZA LA SIGUIENTE ORACION:”",,
27,FETICHES,"SECRETO Y ORACION
CARIÑO Y AMOR, ESMERALDAS DE AMOR, ARDIENTE PASION YO SIENTO POR TI Y POR MI, TU PENSAMIENTO YA LO DOMINO, TU MENTE SUJETA ESTA EN EL INFLUJO DE ESTOS FETICHES, TE LLAMO, TE NECESITO Y TU A MI FULANO DE TAL. VEN A MI, QUE SE META EN MI CORAZON, QUE FLUYA EN SU MENTE Y EN LA SANGRE Y LO DOMINE ASI A MI.",,,14 x 8 x 1 cm (cada muñeco),"“FETICHES
EXPLICACION DE LOS FETICHES O MUÑECOS [DE] TRAPO, PARA REALIZAR UN TRABAJO EFECTIVO SE NECESITA LO SIGUENTE [SIC[2]]: UN RETRATO O UNA PRENDA QUE HAYA PERTENECIDO ALGUN TIEMPO A LA PERSONA AUSENTE A O QUIEN SE TRATE DE CAUTIVAR. SI ES RETRATO ESCRIBE AL REVERSO EL NOMBRE DE LA PERSONA INTERESADA CON APELLIDO DEL AUSENTE, SE LIGAN LOS FETICHES CON DOS METROS DE LISTON BLANCO DEL MAS ANGOSTO, SE AMARAN[3] [SIC] LOS MUÑECOS HASTA QUE SOBREN CUATRO (4) DEDOS DE PUNTA Y SE HACEN NUEVE NUDOS UNO DIARIO HASTA LLEGAR A LOS NUEVE DIAS Y SE REZA LA SIGUIENTE ORACION:”
“NOTA: EN ESA NOCHE TRANQUILA ENCIENDA UNA VELA ROJA Y UNA VELA VERDE MIRANDO LA LLAMA LLAME A LA PERSONA. LAS VELAS SE UNTAN CON FERFUME DEL QUE USA Y LA LLAMA A LA PERSONA AMADA NUEVE VECES”.",,
28,"Jabón 
ARRASA BRUJERÍA",,jabón,"Mercado Independencia, Morelia",8.5 x 5.5. x 3.5 cm,"“MODO DE USO:
Frótese suavemente sobre el cuerpo.
Se puede repetir la oración o frase preferida”
Marca essences Golden.",,
29,"Jabón del Retiro
Hipnotismo, Fuerza y Poder","Anima del retiro, yo te llamo e invoco para que con tu mucho poder me retiras al mal vecino y a mis enemigos y te los lleves a la región del olvido: con este cirio que yo te prendo Anima del Retiro, cuanto yo te pido todo me lo ha [sic] de conceder.
Mortifícalos, que en su casa a gusto no estén, que sientan tristeza y temor y se alejen sin dilación, con esta agua del Anima del Retiro que yo riego a las puertas de la casa del mal vecino activo su retiro.
Por eso te alabo y bendigo y todo lo que yo pida sea concedido. ",jabón,"Mercado de Jamaica, México (puesto 1)",8.5 x 5.5. x 3.5 cm,“NOTA: Récela con fervor y más pronto de lo pensado le será concedido”,,
30,"Jabón
 7 POTENCIAS AFRICANAS
[Ver # # 40 y 66]","Abro mis puertas, con el fin y la buena fe, a los siete espíritus de la fortuna.
Que algún día lleguen a mi casa, que la Dicha y la Salud estén en mis puertas. Por los siete Pueblos Principales, por los siete Libros Sagrados, por los siete Candelabros del Templo de Salomón, por los siete Huesos de la Cabeza de Dios, por los Santos Ángeles Guardianes San Miguel Arcángel, San Rafael, San Gabriel, Guías y Guarda de Dios. Y que la Bendición de Dios Padre Omnipotente del Hijo y del Espíritu Santo descienda sobre nosotros. AMEN.",jabón,"Mercado de Jamaica, México (puesto 1)",8.5 x 5.5. x 3.5 cm,"CHANGO.-  Poder, amor y suerte.
OCUN.- Protección contra el mal.
YEMALLA.- Magnetismo, poder y éxito.
OBATALA.- Enfermedades o falta de donero.
ORULA.- Destruye los obstaculos. 
OGUN.- Triunfo, negocios y juego.
ELEGUA.- Prosperidad, sabiduría. ",,
31,"AUTENTICOS POLVOS DE ESTUDIANTE
FORMULA original GARANTIZADA","En el nombre de Dios Padre, te llamo e invoco, oh; Maestro mío, tu guía seriamente busco y necesito ahora; en silencio me siento y escucho, pues tu luz y amor resplandecen en torno mío, trayéndome paz, amor y armonía, evolución y tu sabia guía para encaminar positivamente mi vida, hacia una evolución superior. Amén.",Polvo verde claro,"Mercado de Jamaica, México (puesto 1)",10 x 13.5 cm,"“AUTENTICOS POLVOS DE ESTUDIANTE.
Polvo preparado con ingredientes únicos que le aydarán a abrir su mente para comprender mejor todos los conceptos que se traten en sus estudios o su carrera.
Coloque un poco de éste polvo en la yema de sus dedos y recargue en sus sienes por unos minutos al mismo tiempo que mentaliza todo el conocimiento que quiere aprender y comprender. “
SACHET K products",,
32,AUTÉNTICOS POLVOS TAPA BOCAS,"ORACIÓN:
Espíritu de la Montaña yo les pido que le tapen la boca a ....... y que así como quemo este polvo se quemen las injurias que haga contra mi, Amen. ",Polvo rosa. Polvo blanco,"Mercado de Jamaica, México (puesto 1)
(32 bis: puesto 2)",10 x 13.5 cm,"“Si eres Víctima de murmuraciones, se te trae de boca en boca y te persiguen los chismes y enredos [sic]. Usa este poderoso polvo.
MODO DE USO
Arroje un poco de este poderoso polvo en la puerta de la casa de la persona que le hace daño o pretenda hacerlo. –escriba en el papel de estraza el nombre de esa persona, quémelo con el sobrante del polvo y repita la ORACIÓN:”
“finalmente tire las cenizas en un crucero sin voltear.”
“SACHET
FOMULA MEJORADA”",,
